user,text,latitude,longitude
cop_spotter,"#alarm Prio: 1 Letsel Nieuwe Hoogstraat Amsterdam - Nieuwe Hoogstraat 20, 1011 HG Amsterdam, Netherlands",52.3707074,4.8998556
m_spitz,The Bunny Gang #stickers #slaps @ Amsterdam Canal https://t.co/t2ttzRx00z,52.3650208,4.89223
barbarapeixe,""" ? preciso enxergar al?m do que se v?..."" #goodmorningworld #amsterdam #iamsterdam? https://t.co/aDIiVOUDTW",52.37292305,4.89367444
p2000amsterdam,A1 13115 Rit 8719 Amsterdam Nieuwe Hoogstraat Sint Antoniesbreestraat https://t.co/0MlngkNVAq #p2000,52.3711266,4.9005414
p2000amsterdam,Prio: 1 Letsel Nieuwe Hoogstraat Amsterdam https://t.co/HqyoqPMzzD #p2000,52.3708079,4.8994357
112alarm,#AMSTERDAM #AML | Prio: 1 Letsel Nieuwe Hoogstraat Amsterdam | https://t.co/EzPV8a4S2D,52.37081,4.89942
aysegulAVS,"I'm at Starbucks, Amsterdam, The Netherlands https://t.co/CdlNjfW58q",52.36688543,4.89412862
p2000amsterdam,A1 13101 Rit 8710 Amsterdam Vijzelstraat 113 Albert Heijn https://t.co/jxwc99xv1A #p2000,52.3660689,4.8935984
FilterCoffeeAms,Met wie kom jij dit weekend koffiedrinken? #filteramsterdam #bringafriend #coffeelovers? https://t.co/X93s2yySeV,52.369751,4.9068298
LamaAlZamil_,"I'm at Grand Caf? l'Opera in Amsterdam, Noord-Holland https://t.co/NnEehjR1Hn",52.36645476,4.89742935
davidnotte,"Flat whites for the team ???
#tgif #coffee #amsterdam #officelife @ Frederix Micro Roasters https://t.co/iqtGNXaNLQ",52.361412,4.9005914
HortusAmsterdam,Flowering in our desert greenhouse at this moment: Pelargonium lobatum. A South African plant.? https://t.co/YWON1NPS4G,52.3672066,4.9083505
cop_spotter,"#alarm 4210 - Oudezijds Achterburgwal 1921, 1012 DX Amsterdam, Netherlands",52.3702157,4.8951679
DeDanceAdvocaat,"Nieuw Skype-adres: ""spetit.devos""! https://t.co/rdkVr16nuu",52.3733862,4.8940639
artofcolors,Fotoshoot voor Another Academy. Foto by Lisa de Wolf Model van DeBoekers Styling by Christine? https://t.co/0oXd7POBJi,52.36123404,4.89715713
artofcolors,Fotoshoot voor Another Academy. Foto by Lisa de Wolf Model van DeBoekers Styling by Christine? https://t.co/5HdDKSD4Tb,52.36123404,4.89715713
